@RELATION models/SVM_aaaaaaaa
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {anger,happyness,neutral,sadness}

@DATA
0.067345,0.059114,2.837168,0.136883,0.164719,0.478853,0.002698,0.098058,-23.958496,1.598977,-0.763752,-0.456665,-0.333569,-0.553720,-0.335315,-0.496511,-0.246744,0.239953,0.097583,0.050988,-0.190280,0.011508,0.010705,0.004777,0.009998,0.006319,0.005411,0.010645,0.016648,0.012231,0.007614,0.008932,0.014221,0.011537,0.031737,0.049597,0.240617,0.032929,0.022501,0.278720,0.001205,0.065088,1.081131,0.920087,0.481866,0.458026,0.391971,0.385011,0.287049,0.387427,0.291348,0.346679,0.322874,0.240788,0.176449,0.011090,0.004186,0.003692,0.007386,0.005917,0.007757,0.013912,0.016096,0.012674,0.008547,0.009019,0.010994,0.005040,anger
0.074978,0.061194,2.982513,0.150008,0.157672,0.656235,0.002764,0.125166,-23.006660,1.016666,0.112755,0.255305,-0.612993,0.388624,0.039244,-0.163404,-0.435573,-0.250515,-0.334642,-0.320186,-0.415820,0.009367,0.016451,0.014410,0.007337,0.005917,0.008419,0.004701,0.005629,0.011296,0.037482,0.002685,0.022745,0.017405,0.055397,0.062499,0.271649,0.051254,0.017676,0.586080,0.002347,0.102806,2.068160,1.010318,1.081768,0.545107,0.492394,0.379425,0.351618,0.303932,0.241469,0.218106,0.257914,0.271848,0.374936,0.011573,0.015719,0.023084,0.014140,0.008332,0.012603,0.006598,0.005553,0.013972,0.044897,0.002298,0.027606,0.013565,anger
0.032771,0.021314,3.018443,0.102208,0.151712,0.164160,0.004695,0.036689,-24.901978,2.253400,-0.046822,0.374139,-0.108923,0.068355,0.351185,0.023103,-0.420191,0.087984,-0.262805,-0.124900,-0.198373,0.028722,0.020899,0.084357,0.009469,0.047246,0.024712,0.006203,0.009260,0.011316,0.003268,0.004685,0.007168,0.031791,0.012549,0.017078,0.180403,0.023901,0.019409,0.089225,0.001331,0.018059,0.917365,0.550233,0.417198,0.316100,0.282744,0.287426,0.269760,0.229866,0.189418,0.248881,0.224498,0.257268,0.268220,0.021760,0.018697,0.046178,0.019426,0.010504,0.011402,0.009937,0.010691,0.004797,0.005847,0.004921,0.004246,0.011121,anger
0.095981,0.073485,2.938040,0.179488,0.181385,0.682975,0.002256,0.155869,-23.205288,1.020684,-0.703354,-0.068104,-0.782873,-0.137413,-0.365154,-0.385611,-0.173559,0.147965,-0.090440,-0.069226,-0.243359,0.010753,0.020206,0.009548,0.006616,0.003884,0.004820,0.007391,0.010979,0.011472,0.020179,0.005265,0.010154,0.015341,0.057102,0.068715,0.263054,0.046824,0.019743,0.450223,0.001362,0.130175,1.355640,0.991149,0.599496,0.341576,0.446065,0.454902,0.454498,0.418275,0.503996,0.365400,0.424578,0.421286,0.296685,0.012561,0.025962,0.009901,0.009980,0.004367,0.005895,0.011588,0.015360,0.021669,0.030668,0.006525,0.011710,0.009232,anger
0.077374,0.103895,2.845636,0.149723,0.168877,0.437117,0.003176,0.097069,-22.705210,0.813097,-1.002861,-0.251029,-1.154617,0.015411,-0.206350,-0.554523,0.176629,0.443763,0.235964,0.225050,-0.242713,0.004281,0.006912,0.003651,0.001639,0.003159,0.004960,0.007458,0.022024,0.010982,0.014201,0.019617,0.005559,0.014685,0.061905,0.111224,0.365687,0.052482,0.028169,0.433848,0.001984,0.100376,1.522080,0.848800,0.927279,0.393031,0.633717,0.451759,0.451530,0.448345,0.498292,0.506331,0.459647,0.326343,0.245142,0.007245,0.011310,0.006757,0.003225,0.007546,0.005433,0.009879,0.026671,0.013845,0.028361,0.029624,0.008177,0.008697,anger
0.073829,0.097921,2.900789,0.138415,0.157572,0.465210,0.002664,0.096803,-23.414306,0.492763,-1.324743,0.124147,-0.169006,-0.228026,-0.120125,-0.713332,-0.090392,0.547043,0.053770,-0.007860,-0.332697,0.003134,0.003945,0.009770,0.004340,0.007321,0.011521,0.005625,0.007013,0.011272,0.011859,0.010390,0.004659,0.008748,0.044193,0.105669,0.387222,0.039583,0.021969,0.385548,0.001322,0.077478,2.336879,1.113579,0.590266,0.615772,0.464612,0.607643,0.445090,0.524773,0.550370,0.492048,0.342714,0.334770,0.278170,0.004756,0.007782,0.019897,0.006684,0.007420,0.015680,0.006319,0.009188,0.011725,0.011716,0.011002,0.006418,0.005587,anger
0.047261,0.063601,2.946814,0.098057,0.135336,0.204947,0.003856,0.058508,-24.403763,0.778517,-1.914225,-0.380658,-0.582274,0.097205,-0.194234,-0.029224,-0.031609,0.345433,-0.525325,0.010820,0.065858,0.008059,0.004010,0.004944,0.007702,0.012473,0.006544,0.002801,0.010782,0.006609,0.009525,0.005878,0.010010,0.012461,0.010512,0.043869,0.306067,0.017903,0.029371,0.102314,0.002207,0.013061,1.578767,0.614648,0.348719,0.399653,0.327836,0.489243,0.353557,0.424510,0.470022,0.396516,0.357131,0.295025,0.198368,0.012209,0.004889,0.006420,0.014002,0.021892,0.011962,0.005388,0.018812,0.005317,0.008896,0.008124,0.022326,0.007918,anger
0.034993,0.026082,2.722829,0.092508,0.146444,0.117744,0.004513,0.043442,-25.328628,2.344044,-1.767546,-0.782120,-0.028816,-0.355698,0.022969,-0.302310,-0.410186,0.093938,0.154350,-0.192986,-0.094610,0.007394,0.006246,0.004580,0.009769,0.011428,0.012323,0.018454,0.013863,0.014731,0.006656,0.006100,0.009534,0.010991,0.010065,0.025180,0.325090,0.019048,0.027704,0.110457,0.002722,0.023770,1.647229,0.536270,0.477080,0.365701,0.381195,0.263738,0.315261,0.352700,0.264518,0.321012,0.273792,0.141798,0.183849,0.008987,0.006542,0.005261,0.008261,0.007290,0.008323,0.015153,0.009646,0.014009,0.006026,0.007369,0.011787,0.003772,anger
0.042119,0.036120,2.877259,0.097915,0.140454,0.152749,0.004981,0.049518,-23.817665,2.103467,-1.551396,-0.689519,-0.528173,-0.278590,-0.285865,-0.753878,-0.352800,0.146337,0.237601,0.436803,-0.008703,0.004037,0.001671,0.008378,0.008087,0.018428,0.012146,0.012828,0.016227,0.018458,0.010461,0.012158,0.006165,0.015850,0.023898,0.024190,0.425085,0.031674,0.030439,0.186680,0.003199,0.044763,1.217549,0.740404,0.761550,0.360542,0.591104,0.539172,0.364722,0.394582,0.501648,0.558720,0.496350,0.438504,0.389112,0.008699,0.002410,0.023536,0.016496,0.023996,0.013851,0.015518,0.018047,0.021388,0.011747,0.019091,0.011643,0.007068,anger
0.088986,0.033370,2.921430,0.135849,0.142332,0.499436,0.002748,0.116783,-25.122985,1.620766,-1.040135,-0.538416,-0.862118,-0.184648,-0.157971,0.055184,0.103436,0.220542,-0.252299,0.051640,-0.313341,0.017210,0.010641,0.007770,0.004974,0.004413,0.004158,0.003950,0.016393,0.009560,0.007141,0.010429,0.016065,0.012719,0.076352,0.033288,0.332758,0.057992,0.033401,0.501053,0.001682,0.110525,3.126900,0.575160,0.748789,0.434956,0.414226,0.424112,0.474363,0.407622,0.475375,0.418734,0.295185,0.290604,0.336536,0.018156,0.012439,0.009338,0.007665,0.006021,0.005334,0.003316,0.021044,0.011496,0.009815,0.015925,0.022282,0.007180,anger
