@RELATION models/SVM_port_single
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {anger,happyness,neutral,sadness}

@DATA
0.080424,0.087819,2.866211,0.156871,0.168100,0.656909,0.002110,0.125389,-22.339614,0.700906,-0.884173,-0.181153,-0.536051,-0.501645,-0.418913,-0.803318,-0.463741,0.328310,0.336372,0.211651,-0.229980,0.004175,0.003358,0.004827,0.005343,0.003807,0.007529,0.010304,0.019557,0.008192,0.006050,0.004546,0.009384,0.011146,0.041117,0.070219,0.315315,0.039118,0.026568,0.367095,0.001307,0.086146,1.453756,1.228721,0.713807,0.643942,0.461564,0.498848,0.380738,0.512180,0.422001,0.432323,0.432261,0.353559,0.226572,0.008295,0.004364,0.004337,0.006295,0.006246,0.013862,0.015446,0.021505,0.009575,0.009005,0.006556,0.023078,0.007737,anger
0.068185,0.057890,2.946190,0.150872,0.163609,0.612088,0.002293,0.115704,-22.617230,1.117575,0.304887,0.037636,-0.796979,0.353239,-0.018491,-0.052598,-0.453749,-0.265211,-0.457098,-0.465643,-0.397585,0.008811,0.028075,0.034041,0.008037,0.004066,0.004946,0.005214,0.003973,0.007968,0.021703,0.014082,0.011776,0.019856,0.049824,0.053688,0.298656,0.042949,0.019900,0.518841,0.001809,0.095506,1.738128,0.918672,1.061085,0.636925,0.591680,0.395695,0.344273,0.390949,0.258419,0.240377,0.350616,0.347621,0.345974,0.009580,0.046345,0.058145,0.011488,0.004248,0.006637,0.007032,0.003644,0.011496,0.031724,0.017941,0.014933,0.017196,anger
0.040164,0.028878,2.976223,0.114062,0.154595,0.226589,0.002738,0.046750,-23.523359,2.058455,-0.548056,0.156805,-0.194379,-0.089266,0.304726,-0.072291,-0.602847,0.012052,-0.379986,-0.267357,-0.338927,0.019743,0.027463,0.064295,0.015833,0.009676,0.012958,0.013968,0.013972,0.004194,0.004529,0.002942,0.017228,0.026214,0.017911,0.022736,0.242215,0.031982,0.025579,0.119814,0.001624,0.017673,1.290282,0.760853,0.620271,0.531808,0.376354,0.477520,0.315484,0.250030,0.264648,0.364794,0.286607,0.357228,0.393546,0.028650,0.036296,0.059010,0.026030,0.018567,0.014892,0.024107,0.011092,0.005880,0.007182,0.003243,0.018228,0.015155,anger
0.081097,0.093514,2.853805,0.155810,0.163889,0.592197,0.002224,0.128501,-22.440046,0.573195,-0.868780,-0.090921,-0.879236,-0.038328,-0.339079,-0.409448,-0.029913,0.312104,0.068450,-0.032778,-0.199200,0.007846,0.007447,0.006308,0.003290,0.002727,0.004289,0.005744,0.018218,0.010352,0.010383,0.004835,0.005389,0.011420,0.044761,0.090170,0.319455,0.044035,0.029216,0.356737,0.001362,0.099997,1.425299,1.011479,0.572023,0.302239,0.540692,0.585722,0.481402,0.474297,0.465423,0.430117,0.550876,0.385090,0.273216,0.012145,0.013129,0.012018,0.006245,0.003501,0.006560,0.007298,0.032052,0.022363,0.017622,0.008003,0.007553,0.009459,anger
0.084358,0.087327,2.806305,0.149869,0.163946,0.467382,0.002477,0.107053,-22.507735,0.791764,-0.792016,-0.274702,-1.373262,-0.014566,-0.215860,-0.610886,0.069762,0.365268,0.287775,0.241821,-0.241391,0.004254,0.005043,0.004740,0.002322,0.003504,0.003779,0.007567,0.028589,0.006350,0.009815,0.011807,0.005718,0.013360,0.059872,0.080800,0.356943,0.054887,0.031645,0.418181,0.001447,0.095240,1.387200,0.805314,0.776531,0.398161,0.564123,0.418973,0.425274,0.435282,0.440798,0.467187,0.429386,0.339149,0.257151,0.006369,0.010088,0.007054,0.003913,0.006113,0.004504,0.008530,0.032403,0.007198,0.018019,0.015336,0.009331,0.008099,anger
0.071368,0.061010,2.873805,0.138836,0.166421,0.439153,0.002043,0.087797,-24.580581,0.829379,-1.077665,0.223760,-0.277276,-0.107940,-0.016798,-0.706236,-0.106611,0.504553,0.048341,0.060583,-0.313778,0.002297,0.005946,0.029003,0.004259,0.011981,0.010822,0.007437,0.012573,0.009850,0.009649,0.008012,0.012558,0.011781,0.030780,0.064137,0.295637,0.027997,0.016981,0.263349,0.001010,0.049601,1.382662,0.723143,0.358180,0.612466,0.443684,0.446444,0.328199,0.526306,0.448126,0.394422,0.223042,0.233155,0.231870,0.002717,0.007902,0.018389,0.005669,0.007726,0.005410,0.004619,0.008032,0.009449,0.007957,0.008789,0.009679,0.005515,anger
0.046013,0.090263,2.928663,0.101373,0.139781,0.188766,0.003564,0.057238,-22.744698,0.855644,-1.887239,-0.535867,-0.689800,-0.323433,-0.243441,0.096773,0.152127,0.244897,-0.409357,0.086620,0.099975,0.007460,0.003953,0.005483,0.007806,0.017572,0.004606,0.003305,0.009932,0.004448,0.007006,0.007427,0.012414,0.013498,0.013195,0.061994,0.315041,0.023173,0.027907,0.115220,0.002306,0.015900,1.620639,0.866687,0.484363,0.584345,0.443163,0.746754,0.420118,0.525964,0.670903,0.507834,0.469287,0.413453,0.289675,0.013299,0.004949,0.006651,0.011695,0.029980,0.007783,0.006611,0.015720,0.005967,0.008437,0.012730,0.020281,0.009005,anger
0.033928,0.036551,2.682419,0.084997,0.134445,0.100108,0.004927,0.041604,-23.873632,2.449998,-1.996292,-0.936375,0.068898,-0.391351,-0.109759,-0.288451,-0.268171,-0.177082,0.075682,-0.199542,-0.167440,0.005713,0.011792,0.005513,0.007639,0.011317,0.011936,0.013002,0.009490,0.009675,0.006323,0.006709,0.008574,0.010140,0.009255,0.033547,0.388023,0.023694,0.033775,0.102733,0.005661,0.019136,1.451773,0.679855,0.586996,0.462514,0.453587,0.380180,0.388369,0.430430,0.405185,0.525839,0.368370,0.262565,0.313852,0.007303,0.019241,0.005494,0.006783,0.007712,0.011425,0.011372,0.010056,0.010627,0.004778,0.006836,0.012069,0.004942,anger
0.039946,0.036226,2.907080,0.091804,0.136965,0.124247,0.004319,0.042994,-23.527433,2.166066,-1.810079,-0.772906,-0.423462,-0.407870,-0.283854,-0.731423,-0.406817,0.121386,0.271578,0.397445,0.063656,0.001693,0.001743,0.004491,0.006067,0.021840,0.012755,0.013986,0.016792,0.012011,0.009345,0.008803,0.004533,0.013889,0.017691,0.020240,0.354859,0.025577,0.025841,0.121741,0.002509,0.020281,0.988306,0.773373,0.586876,0.286275,0.585508,0.511854,0.336140,0.373592,0.529740,0.563660,0.444435,0.447001,0.362654,0.002459,0.002791,0.009902,0.009387,0.025779,0.012332,0.014557,0.017719,0.012088,0.010315,0.012929,0.008660,0.005322,anger
0.080123,0.046605,2.898301,0.127783,0.139172,0.439969,0.002537,0.102138,-24.149279,1.409199,-1.027036,-0.509802,-0.938170,-0.297827,-0.339538,0.184373,0.286775,0.263406,-0.285744,-0.031394,-0.300003,0.021976,0.014282,0.006365,0.003625,0.002985,0.004084,0.002818,0.010848,0.005295,0.008195,0.011282,0.015465,0.014016,0.066186,0.043575,0.352104,0.051751,0.028779,0.436535,0.001626,0.097753,3.109869,0.828371,0.735684,0.434826,0.440355,0.478688,0.562206,0.540092,0.598776,0.434851,0.370690,0.344339,0.321931,0.031064,0.019063,0.007606,0.005451,0.004936,0.006141,0.002597,0.012941,0.008677,0.015839,0.013711,0.017034,0.007959,anger
