frameIndex;frameTime;pcm_RMSenergy;pcm_LOGenergy
131;1.310000;2.666246e-02;-7.248997e+00
132;1.320000;2.454610e-02;-7.414404e+00
133;1.330000;2.153255e-02;-7.676379e+00
134;1.340000;2.000957e-02;-7.823090e+00
135;1.350000;1.712282e-02;-8.134686e+00
136;1.360000;2.163804e-02;-7.666605e+00
137;1.370000;2.539225e-02;-7.346622e+00
138;1.380000;2.934589e-02;-7.057205e+00
139;1.390000;3.858032e-02;-6.510026e+00
140;1.400000;4.126639e-02;-6.375414e+00
141;1.410000;3.240081e-02;-6.859144e+00
142;1.420000;2.333328e-02;-7.515749e+00
143;1.430000;2.546363e-02;-7.341008e+00
144;1.440000;3.326440e-02;-6.806535e+00
145;1.450000;3.811013e-02;-6.534550e+00
146;1.460000;4.274823e-02;-6.304855e+00
147;1.470000;4.308418e-02;-6.289199e+00
148;1.480000;4.219985e-02;-6.330677e+00
149;1.490000;4.420609e-02;-6.237786e+00
150;1.500000;4.426225e-02;-6.235247e+00
151;1.510000;4.021908e-02;-6.426827e+00
152;1.520000;3.446490e-02;-6.735628e+00
153;1.530000;3.402472e-02;-6.761336e+00
154;1.540000;3.263557e-02;-6.844705e+00
155;1.550000;2.693371e-02;-7.228753e+00
156;1.560000;1.945655e-02;-7.879143e+00
157;1.570000;1.501852e-02;-8.396942e+00
158;1.580000;2.772430e-02;-7.170892e+00
159;1.590000;3.696145e-02;-6.595760e+00
160;1.600000;3.942720e-02;-6.466599e+00
161;1.610000;4.516868e-02;-6.194703e+00
162;1.620000;5.817441e-02;-5.688619e+00
163;1.630000;6.431286e-02;-5.487991e+00
164;1.640000;6.128109e-02;-5.584568e+00
165;1.650000;5.373507e-02;-5.847379e+00
166;1.660000;4.781308e-02;-6.080912e+00
167;1.670000;4.385626e-02;-6.253675e+00
168;1.680000;3.977727e-02;-6.448919e+00
169;1.690000;3.766072e-02;-6.558275e+00
170;1.700000;4.060759e-02;-6.407600e+00
171;1.710000;4.050688e-02;-6.412567e+00
172;1.720000;3.918444e-02;-6.478951e+00
173;1.730000;3.486262e-02;-6.712680e+00
174;1.740000;4.524067e-02;-6.191517e+00
175;1.750000;6.850377e-02;-5.361733e+00
176;1.760000;8.917689e-02;-4.834267e+00
177;1.770000;9.469954e-02;-4.714092e+00
178;1.780000;8.217902e-02;-4.997710e+00
179;1.790000;7.295635e-02;-5.235788e+00
180;1.800000;6.156558e-02;-5.575305e+00
181;1.810000;5.166602e-02;-5.925910e+00
182;1.820000;4.278521e-02;-6.303125e+00
